investor_id,average_gap_days,max_gap_days,status
INV000065,91.8,122.0,at-risk
INV000066,40.833333333333336,115.0,at-risk
INV000067,,,active
INV000068,,,active
INV000069,40.18181818181818,110.0,at-risk
INV000070,113.66666666666667,157.0,at-risk
INV000071,14.333333333333334,56.0,at-risk
INV000072,46.666666666666664,188.0,at-risk
INV000073,45.666666666666664,112.0,at-risk
INV000074,50.8,191.0,at-risk
INV000075,62.333333333333336,87.0,at-risk
INV000076,58.375,148.0,at-risk
INV000077,87.0,87.0,at-risk
INV000078,153.0,231.0,at-risk
INV000079,56.125,120.0,at-risk
INV000080,60.75,167.0,at-risk
INV000081,48.8,167.0,at-risk
INV000082,62.75,225.0,at-risk
INV000083,180.0,180.0,at-risk
INV000084,76.5,155.0,at-risk
INV000085,52.142857142857146,135.0,at-risk
INV000086,36.54545454545455,102.0,at-risk
INV000087,51.55555555555556,103.0,at-risk
INV000088,23.333333333333332,54.0,at-risk
INV000089,49.1,130.0,at-risk
INV000090,48.5,148.0,at-risk
INV000091,45.63636363636363,112.0,at-risk
INV000092,89.25,225.0,at-risk
INV000093,49.333333333333336,111.0,at-risk
INV000094,44.8,173.0,at-risk
INV000095,52.375,155.0,at-risk
INV000096,2.0,2.0,active
INV000097,45.7,183.0,at-risk
INV000098,66.83333333333333,111.0,at-risk
INV000099,52.42857142857143,178.0,at-risk
INV000100,61.42857142857143,155.0,at-risk
INV000101,42.18181818181818,102.0,at-risk
INV000102,45.7,97.0,at-risk
INV000103,63.857142857142854,137.0,at-risk
INV000104,45.0,79.0,at-risk
INV000105,44.333333333333336,87.0,at-risk
INV000106,63.0,111.0,at-risk
INV000107,50.0,138.0,at-risk
INV000108,45.625,165.0,at-risk
INV000109,41.111111111111114,63.0,at-risk
INV000110,122.0,194.0,at-risk
INV000111,205.0,205.0,at-risk
INV000112,80.33333333333333,167.0,at-risk
INV000113,55.625,144.0,at-risk
INV000114,47.333333333333336,96.0,at-risk
INV000115,94.0,136.0,at-risk
INV000116,78.75,133.0,at-risk
INV000117,54.857142857142854,124.0,at-risk
INV000118,50.6,152.0,at-risk
INV000119,142.0,142.0,at-risk
INV000120,116.0,223.0,at-risk
INV000121,133.66666666666666,170.0,at-risk
INV000122,,,active
INV000123,44.75,138.0,at-risk
INV000124,86.8,210.0,at-risk
INV000125,57.166666666666664,92.0,at-risk
INV000126,192.5,258.0,at-risk
INV000127,131.5,240.0,at-risk
INV000128,45.55555555555556,129.0,at-risk
INV000129,49.1,105.0,at-risk
INV000130,38.22222222222222,97.0,at-risk
INV000131,37.72727272727273,64.0,at-risk
INV000132,46.125,125.0,at-risk
INV000133,73.5,265.0,at-risk
INV000134,87.0,106.0,at-risk
INV000135,103.33333333333333,238.0,at-risk
INV000136,,,active
INV000137,41.75,73.0,at-risk
INV000138,45.36363636363637,170.0,at-risk
INV000139,,,active
INV000140,119.33333333333333,157.0,at-risk
INV000141,,,active
INV000142,,,active
INV000143,51.333333333333336,146.0,at-risk
INV000144,73.0,193.0,at-risk
INV000145,55.875,98.0,at-risk
INV000146,47.714285714285715,109.0,at-risk
INV000147,58.0,141.0,at-risk
INV000148,46.22222222222222,168.0,at-risk
INV000149,,,active
INV000150,58.0,165.0,at-risk
INV000151,66.8,115.0,at-risk
INV000152,87.0,87.0,at-risk
INV000153,31.444444444444443,93.0,at-risk
INV000154,59.125,99.0,at-risk
INV000155,55.285714285714285,163.0,at-risk
INV000156,79.83333333333333,130.0,at-risk
INV000157,,,active
INV000158,63.714285714285715,118.0,at-risk
INV000159,201.0,218.0,at-risk
INV000160,71.0,143.0,at-risk
INV000161,54.75,191.0,at-risk
INV000162,435.0,435.0,at-risk
INV000163,47.44444444444444,80.0,at-risk
INV000164,61.8,208.0,at-risk
INV000165,58.875,236.0,at-risk
INV000166,83.0,253.0,at-risk
INV000167,63.0,195.0,at-risk
INV000168,192.0,320.0,at-risk
INV000169,41.18181818181818,121.0,at-risk
INV000170,25.5,33.0,active
INV000171,86.66666666666667,103.0,at-risk
INV000172,100.0,298.0,at-risk
INV000173,34.6,156.0,at-risk
INV000174,68.28571428571429,117.0,at-risk
INV000175,45.63636363636363,150.0,at-risk
INV000176,119.25,204.0,at-risk
INV000177,45.8,210.0,at-risk
INV000178,230.0,230.0,at-risk
INV000179,35.8,85.0,at-risk
INV000180,47.857142857142854,226.0,at-risk
INV000181,52.333333333333336,264.0,at-risk
INV000182,55.22222222222222,182.0,at-risk
INV000183,41.54545454545455,177.0,at-risk
INV000184,,,active
INV000185,196.0,196.0,at-risk
INV000186,121.0,121.0,at-risk
INV000187,,,active
INV000188,219.0,219.0,at-risk
INV000189,91.6,120.0,at-risk
INV000190,65.71428571428571,240.0,at-risk
INV000191,42.4,85.0,at-risk
INV000192,57.0,122.0,at-risk
INV000193,58.25,208.0,at-risk
INV000194,33.72727272727273,109.0,at-risk
INV000195,45.77777777777778,114.0,at-risk
INV000196,56.75,147.0,at-risk
INV000197,134.66666666666666,210.0,at-risk
INV000198,,,active
INV000199,64.33333333333333,191.0,at-risk
INV000200,69.83333333333333,163.0,at-risk
INV000201,48.666666666666664,100.0,at-risk
INV000202,174.0,272.0,at-risk
INV000203,39.875,131.0,at-risk
INV000204,69.0,173.0,at-risk
INV000205,48.666666666666664,193.0,at-risk
INV000206,130.0,175.0,at-risk
INV000207,95.0,238.0,at-risk
INV000208,,,active
INV000209,29.0,29.0,active
INV000210,61.875,163.0,at-risk
INV000211,61.0,190.0,at-risk
INV000212,88.0,88.0,at-risk
INV000213,54.0,103.0,at-risk
INV000214,52.666666666666664,206.0,at-risk
INV000215,56.375,198.0,at-risk
INV000216,53.0,107.0,at-risk
INV000217,46.0,150.0,at-risk
INV000218,,,active
INV000219,63.0,166.0,at-risk
INV000220,80.6,253.0,at-risk
INV000221,38.42857142857143,101.0,at-risk
INV000222,45.6,109.0,at-risk
INV000223,49.8,123.0,at-risk
INV000224,57.5,138.0,at-risk
INV000225,53.714285714285715,150.0,at-risk
INV000226,69.57142857142857,105.0,at-risk
INV000227,56.75,165.0,at-risk
INV000228,43.45454545454545,109.0,at-risk
INV000229,46.333333333333336,78.0,at-risk
INV000230,50.666666666666664,145.0,at-risk
INV000231,34.1,96.0,at-risk
INV000232,205.0,205.0,at-risk
INV000233,205.0,205.0,at-risk
INV000234,81.16666666666667,167.0,at-risk
INV000235,42.111111111111114,140.0,at-risk
INV000236,67.14285714285714,112.0,at-risk
INV000237,81.5,127.0,at-risk
INV000238,52.0,242.0,at-risk
INV000239,34.2,66.0,at-risk
INV000240,74.0,74.0,at-risk
INV000241,40.888888888888886,93.0,at-risk
INV000242,49.55555555555556,98.0,at-risk
INV000243,63.0,126.0,at-risk
INV000244,34.0,109.0,at-risk
INV000245,46.1,92.0,at-risk
INV000246,92.33333333333333,117.0,at-risk
INV000247,,,active
INV000248,85.33333333333333,204.0,at-risk
INV000249,39.0,162.0,at-risk
INV000250,,,active
INV000251,65.0,204.0,at-risk
INV000252,36.77777777777778,96.0,at-risk
INV000253,458.0,458.0,at-risk
INV000254,249.0,249.0,at-risk
INV000255,56.0,149.0,at-risk
INV000256,38.45454545454545,79.0,at-risk
INV000257,53.285714285714285,88.0,at-risk
INV000258,,,active
INV000259,44.125,119.0,at-risk
INV000260,37.90909090909091,126.0,at-risk
INV000261,50.44444444444444,228.0,at-risk
INV000262,34.09090909090909,95.0,at-risk
INV000263,59.875,229.0,at-risk
INV000264,81.5,158.0,at-risk
INV000265,43.72727272727273,140.0,at-risk
INV000266,62.166666666666664,104.0,at-risk
INV000267,34.45454545454545,134.0,at-risk
INV000268,43.2,106.0,at-risk
INV000269,112.0,156.0,at-risk
INV000270,48.8,130.0,at-risk
INV000271,93.6,203.0,at-risk
INV000272,96.33333333333333,228.0,at-risk
INV000273,,,active
INV000274,89.2,175.0,at-risk
INV000275,134.33333333333334,255.0,at-risk
INV000276,68.4,187.0,at-risk
INV000277,,,active
INV000278,67.0,193.0,at-risk
INV000279,31.545454545454547,133.0,at-risk
INV000280,40.54545454545455,112.0,at-risk
INV000281,136.33333333333334,382.0,at-risk
INV000282,114.0,278.0,at-risk
INV000283,46.5,132.0,at-risk
INV000284,63.666666666666664,137.0,at-risk
INV000285,65.5,94.0,at-risk
INV000286,79.5,215.0,at-risk
INV000287,52.375,171.0,at-risk
INV000288,57.125,84.0,at-risk
INV000289,39.90909090909091,93.0,at-risk
INV000290,106.33333333333333,229.0,at-risk
INV000291,55.625,189.0,at-risk
INV000292,35.8,85.0,at-risk
INV000293,45.45454545454545,126.0,at-risk
INV000294,62.333333333333336,156.0,at-risk
INV000295,48.5,89.0,at-risk
INV000296,58.57142857142857,111.0,at-risk
INV000297,56.625,116.0,at-risk
INV000298,74.0,118.0,at-risk
INV000299,48.8,118.0,at-risk
INV000300,76.5,131.0,at-risk
INV000301,45.666666666666664,92.0,at-risk
INV000302,25.0,25.0,active
INV000303,88.4,160.0,at-risk
INV000304,53.111111111111114,204.0,at-risk
INV000305,44.0,122.0,at-risk
INV000306,76.0,115.0,at-risk
INV000307,75.66666666666667,162.0,at-risk
INV000308,82.66666666666667,212.0,at-risk
INV000309,41.54545454545455,93.0,at-risk
INV000310,41.36363636363637,77.0,at-risk
INV000311,101.33333333333333,233.0,at-risk
INV000312,68.42857142857143,140.0,at-risk
INV000313,126.75,310.0,at-risk
INV000314,50.25,106.0,at-risk
INV000315,56.75,113.0,at-risk
INV000316,77.0,184.0,at-risk
INV000317,110.5,250.0,at-risk
INV000318,69.57142857142857,124.0,at-risk
INV000319,55.125,189.0,at-risk
INV000320,38.18181818181818,94.0,at-risk
INV000321,44.27272727272727,117.0,at-risk
INV000322,143.66666666666666,206.0,at-risk
INV000323,59.6,129.0,at-risk
INV000324,250.0,385.0,at-risk
INV000325,113.5,138.0,at-risk
INV000326,74.4,201.0,at-risk
INV000327,167.66666666666666,274.0,at-risk
INV000328,29.545454545454547,67.0,at-risk
INV000329,88.66666666666667,163.0,at-risk
INV000330,55.625,133.0,at-risk
INV000331,47.7,163.0,at-risk
INV000332,64.4,208.0,at-risk
INV000333,90.2,174.0,at-risk
INV000334,26.636363636363637,78.0,at-risk
INV000335,48.0,163.0,at-risk
INV000336,150.0,150.0,at-risk
INV000337,69.0,192.0,at-risk
INV000338,29.666666666666668,60.0,at-risk
INV000339,57.111111111111114,180.0,at-risk
INV000340,25.6,60.0,at-risk
INV000341,46.1,191.0,at-risk
INV000342,,,active
INV000343,126.66666666666667,148.0,at-risk
INV000344,41.22222222222222,155.0,at-risk
INV000345,,,active
INV000346,52.8,111.0,at-risk
INV000347,224.0,224.0,at-risk
INV000348,109.66666666666667,180.0,at-risk
INV000349,45.2,103.0,at-risk
INV000350,85.0,85.0,at-risk
INV000351,49.57142857142857,142.0,at-risk
INV000352,64.6,215.0,at-risk
INV000353,173.0,301.0,at-risk
INV000354,78.16666666666667,120.0,at-risk
INV000355,,,active
INV000356,38.857142857142854,157.0,at-risk
INV000357,86.25,174.0,at-risk
INV000358,88.0,88.0,at-risk
INV000359,48.111111111111114,112.0,at-risk
INV000360,61.125,124.0,at-risk
INV000361,46.0,108.0,at-risk
INV000362,264.0,264.0,at-risk
INV000363,66.0,141.0,at-risk
INV000364,63.0,100.0,at-risk
INV000365,,,active
INV000366,35.142857142857146,150.0,at-risk
INV000367,42.25,116.0,at-risk
INV000368,509.0,509.0,at-risk
INV000369,37.714285714285715,112.0,at-risk
INV000370,93.4,257.0,at-risk
INV000371,41.5,147.0,at-risk
INV000372,42.888888888888886,121.0,at-risk
INV000373,145.5,243.0,at-risk
INV000374,55.857142857142854,173.0,at-risk
INV000375,,,active
INV000376,106.5,155.0,at-risk
INV000377,61.42857142857143,202.0,at-risk
INV000378,47.0,88.0,at-risk
INV000379,112.0,248.0,at-risk
INV000380,80.83333333333333,191.0,at-risk
INV000381,114.0,114.0,at-risk
INV000382,70.0,70.0,at-risk
INV000383,52.333333333333336,127.0,at-risk
INV000384,57.833333333333336,110.0,at-risk
INV000385,69.5,147.0,at-risk
INV000386,,,active
INV000387,48.0,108.0,at-risk
INV000388,47.666666666666664,97.0,at-risk
INV000389,95.0,220.0,at-risk
INV000390,52.42857142857143,79.0,at-risk
INV000391,,,active
INV000392,42.72727272727273,144.0,at-risk
INV000393,75.33333333333333,156.0,at-risk
INV000394,44.1,174.0,at-risk
INV000395,51.5,119.0,at-risk
INV000396,44.63636363636363,95.0,at-risk
INV000397,87.2,205.0,at-risk
INV000398,72.0,72.0,at-risk
INV000399,44.6,68.0,at-risk
INV000400,34.77777777777778,82.0,at-risk
INV000401,21.333333333333332,32.0,active
INV000402,47.0,121.0,at-risk
INV000403,43.2,120.0,at-risk
INV000404,355.0,355.0,at-risk
INV000405,32.5,60.0,at-risk
INV000406,16.0,16.0,active
INV000407,66.71428571428571,157.0,at-risk
INV000408,55.5,125.0,at-risk
INV000409,125.0,155.0,at-risk
INV000410,56.285714285714285,152.0,at-risk
INV000411,57.4,101.0,at-risk
INV000412,38.25,69.0,at-risk
INV000413,51.55555555555556,159.0,at-risk
INV000414,46.4,219.0,at-risk
INV000415,52.666666666666664,128.0,at-risk
INV000416,119.0,119.0,at-risk
INV000417,52.166666666666664,157.0,at-risk
INV000418,55.625,126.0,at-risk
INV000419,91.5,201.0,at-risk
INV000420,,,active
INV000421,80.16666666666667,202.0,at-risk
INV000422,,,active
INV000423,187.5,265.0,at-risk
INV000424,100.0,100.0,at-risk
INV000425,56.333333333333336,215.0,at-risk
INV000426,105.0,171.0,at-risk
INV000427,41.1,82.0,at-risk
INV000428,48.1,154.0,at-risk
INV000429,55.57142857142857,171.0,at-risk
INV000430,94.6,264.0,at-risk
INV000431,59.285714285714285,98.0,at-risk
INV000432,78.33333333333333,195.0,at-risk
INV000433,66.5,166.0,at-risk
INV000434,,,active
INV000435,,,active
INV000436,58.4,170.0,at-risk
INV000437,61.125,277.0,at-risk
INV000438,100.33333333333333,117.0,at-risk
INV000439,34.45454545454545,68.0,at-risk
INV000440,44.81818181818182,116.0,at-risk
INV000441,60.714285714285715,151.0,at-risk
INV000442,145.0,193.0,at-risk
INV000443,124.25,331.0,at-risk
INV000444,36.6,97.0,at-risk
INV000445,46.2,104.0,at-risk
INV000446,40.888888888888886,95.0,at-risk
INV000447,,,active
INV000448,100.0,332.0,at-risk
INV000449,69.71428571428571,142.0,at-risk
INV000450,31.0,31.0,active
INV000451,33.0,33.0,active
INV000452,35.90909090909091,93.0,at-risk
INV000453,42.0,108.0,at-risk
INV000454,93.0,291.0,at-risk
INV000455,123.0,171.0,at-risk
INV000456,47.4,75.0,at-risk
INV000457,41.54545454545455,151.0,at-risk
INV000458,42.0,92.0,at-risk
INV000459,76.75,195.0,at-risk
INV000460,43.09090909090909,227.0,at-risk
INV000461,67.5,90.0,at-risk
INV000462,79.0,79.0,at-risk
INV000463,43.44444444444444,76.0,at-risk
INV000464,,,active
INV000465,96.0,236.0,at-risk
INV000466,48.888888888888886,135.0,at-risk
INV000467,56.666666666666664,272.0,at-risk
INV000468,,,active
INV000469,38.45454545454545,104.0,at-risk
INV000470,148.33333333333334,311.0,at-risk
INV000471,83.75,163.0,at-risk
INV000472,195.5,314.0,at-risk
INV000473,49.57142857142857,190.0,at-risk
INV000474,103.5,203.0,at-risk
INV000475,218.0,346.0,at-risk
INV000476,45.333333333333336,116.0,at-risk
INV000477,44.666666666666664,93.0,at-risk
INV000478,30.5,36.0,at-risk
INV000479,99.0,99.0,at-risk
INV000480,56.625,164.0,at-risk
INV000481,52.111111111111114,117.0,at-risk
INV000482,47.0,202.0,at-risk
INV000483,49.3,216.0,at-risk
INV000484,,,active
INV000485,85.8,270.0,at-risk
INV000486,86.0,160.0,at-risk
INV000487,76.5,121.0,at-risk
INV000488,75.16666666666667,203.0,at-risk
INV000489,87.0,150.0,at-risk
INV000490,115.5,163.0,at-risk
INV000491,43.18181818181818,136.0,at-risk
INV000492,74.33333333333333,143.0,at-risk
INV000493,38.90909090909091,178.0,at-risk
INV000494,55.166666666666664,162.0,at-risk
INV000495,38.54545454545455,142.0,at-risk
INV000496,54.166666666666664,167.0,at-risk
INV000497,54.22222222222222,176.0,at-risk
INV000498,98.66666666666667,231.0,at-risk
INV000499,58.375,126.0,at-risk
INV000500,52.857142857142854,119.0,at-risk
INV000501,100.5,129.0,at-risk
INV000502,,,active
INV000503,47.666666666666664,72.0,at-risk
INV000504,,,active
INV000505,82.0,120.0,at-risk
INV000506,71.5,80.0,at-risk
INV000507,56.375,136.0,at-risk
INV000508,124.0,124.0,at-risk
INV000509,64.25,107.0,at-risk
INV000510,150.0,190.0,at-risk
INV000511,62.57142857142857,206.0,at-risk
INV000512,42.45454545454545,112.0,at-risk
INV000513,103.0,103.0,at-risk
INV000514,43.142857142857146,135.0,at-risk
INV000515,189.5,341.0,at-risk
INV000516,340.0,340.0,at-risk
INV000517,119.0,308.0,at-risk
INV000518,217.0,217.0,at-risk
INV000519,74.2,149.0,at-risk
INV000520,68.2,156.0,at-risk
INV000521,43.25,73.0,at-risk
INV000522,45.81818181818182,87.0,at-risk
INV000523,53.111111111111114,206.0,at-risk
INV000524,41.22222222222222,91.0,at-risk
INV000525,49.142857142857146,126.0,at-risk
INV000526,44.333333333333336,107.0,at-risk
INV000527,50.2,148.0,at-risk
INV000528,,,active
INV000529,41.3,117.0,at-risk
INV000530,109.25,206.0,at-risk
INV000531,28.4,82.0,at-risk
INV000532,48.3,89.0,at-risk
INV000533,65.71428571428571,225.0,at-risk
INV000534,243.0,243.0,at-risk
INV000535,97.4,263.0,at-risk
INV000536,93.0,142.0,at-risk
INV000537,71.0,105.0,at-risk
INV000538,36.5,60.0,at-risk
INV000539,57.75,153.0,at-risk
INV000540,48.4,123.0,at-risk
INV000541,56.0,56.0,at-risk
INV000542,123.25,192.0,at-risk
INV000543,71.71428571428571,170.0,at-risk
INV000544,62.285714285714285,152.0,at-risk
INV000545,50.666666666666664,107.0,at-risk
INV000546,40.0,140.0,at-risk
INV000547,43.72727272727273,157.0,at-risk
INV000548,67.28571428571429,186.0,at-risk
INV000549,53.44444444444444,146.0,at-risk
INV000550,111.75,226.0,at-risk
INV000551,131.0,192.0,at-risk
INV000552,55.111111111111114,95.0,at-risk
INV000553,60.0,172.0,at-risk
INV000554,39.0,102.0,at-risk
INV000555,216.5,375.0,at-risk
INV000556,41.3,147.0,at-risk
INV000557,88.0,294.0,at-risk
INV000558,61.42857142857143,171.0,at-risk
INV000559,107.5,314.0,at-risk
INV000560,87.25,217.0,at-risk
INV000561,,,active
INV000562,62.0,197.0,at-risk
INV000563,41.63636363636363,95.0,at-risk
INV000564,90.0,162.0,at-risk
INV000565,153.0,181.0,at-risk
INV000566,39.63636363636363,122.0,at-risk
INV000567,40.54545454545455,121.0,at-risk
INV000568,39.0,99.0,at-risk
INV000569,42.18181818181818,88.0,at-risk
INV000570,47.1,93.0,at-risk
INV000571,,,active
INV000572,112.0,163.0,at-risk
INV000573,27.727272727272727,93.0,at-risk
INV000574,100.5,195.0,at-risk
INV000575,52.714285714285715,155.0,at-risk
INV000576,52.75,190.0,at-risk
INV000577,43.4,169.0,at-risk
INV000578,45.81818181818182,113.0,at-risk
INV000579,,,active
INV000580,49.25,92.0,at-risk
INV000581,42.72727272727273,128.0,at-risk
INV000582,,,active
INV000583,51.75,133.0,at-risk
INV000584,63.857142857142854,153.0,at-risk
INV000585,61.125,130.0,at-risk
INV000586,44.54545454545455,223.0,at-risk
INV000587,33.81818181818182,112.0,at-risk
INV000588,444.0,444.0,at-risk
INV000589,47.3,90.0,at-risk
INV000590,84.66666666666667,182.0,at-risk
INV000591,55.285714285714285,112.0,at-risk
INV000592,99.75,268.0,at-risk
INV000593,43.8,86.0,at-risk
INV000594,,,active
INV000595,53.44444444444444,106.0,at-risk
INV000596,43.27272727272727,101.0,at-risk
INV000597,63.285714285714285,142.0,at-risk
INV000598,93.6,170.0,at-risk
INV000599,54.333333333333336,158.0,at-risk
INV000600,88.8,156.0,at-risk
INV000601,32.666666666666664,97.0,at-risk
INV000602,45.77777777777778,128.0,at-risk
INV000603,132.66666666666666,236.0,at-risk
INV000604,42.55555555555556,75.0,at-risk
INV000605,223.0,223.0,at-risk
INV000606,38.27272727272727,148.0,at-risk
INV000607,50.22222222222222,145.0,at-risk
INV000608,83.5,241.0,at-risk
INV000609,26.09090909090909,77.0,at-risk
INV000610,,,active
INV000611,69.2,121.0,at-risk
INV000612,44.81818181818182,169.0,at-risk
INV000613,82.33333333333333,227.0,at-risk
INV000614,26.0,65.0,at-risk
INV000615,46.125,139.0,at-risk
INV000616,61.5,185.0,at-risk
INV000617,64.0,77.0,at-risk
INV000618,7.0,7.0,active
INV000619,26.0,73.0,at-risk
INV000620,,,active
INV000621,47.111111111111114,105.0,at-risk
INV000622,89.5,293.0,at-risk
INV000623,48.44444444444444,143.0,at-risk
INV000624,43.75,145.0,at-risk
INV000625,41.45454545454545,91.0,at-risk
INV000626,73.4,134.0,at-risk
INV000627,236.5,268.0,at-risk
INV000628,304.0,304.0,at-risk
INV000629,75.6,276.0,at-risk
INV000630,54.25,142.0,at-risk
INV000631,41.375,82.0,at-risk
INV000632,140.33333333333334,281.0,at-risk
INV000633,86.2,120.0,at-risk
INV000634,41.8,90.0,at-risk
INV000635,53.57142857142857,221.0,at-risk
INV000636,54.4,160.0,at-risk
INV000637,64.2,154.0,at-risk
INV000638,71.0,138.0,at-risk
INV000639,50.8,129.0,at-risk
INV000640,,,active
INV000641,44.857142857142854,126.0,at-risk
INV000642,50.2,139.0,at-risk
INV000643,51.5,127.0,at-risk
INV000644,69.4,313.0,at-risk
INV000645,30.0,88.0,at-risk
INV000646,37.63636363636363,96.0,at-risk
INV000647,105.66666666666667,265.0,at-risk
INV000648,65.33333333333333,88.0,at-risk
INV000649,52.22222222222222,230.0,at-risk
INV000650,108.5,171.0,at-risk
INV000651,70.85714285714286,280.0,at-risk
INV000652,43.36363636363637,154.0,at-risk
INV000653,164.0,164.0,at-risk
INV000654,91.4,166.0,at-risk
INV000655,132.0,132.0,at-risk
INV000656,62.333333333333336,116.0,at-risk
INV000657,50.333333333333336,95.0,at-risk
INV000658,47.375,153.0,at-risk
INV000659,125.0,228.0,at-risk
INV000660,42.0,99.0,at-risk
INV000661,60.42857142857143,106.0,at-risk
INV000662,46.3,113.0,at-risk
INV000663,94.4,247.0,at-risk
INV000664,46.714285714285715,149.0,at-risk
INV000665,29.636363636363637,79.0,at-risk
INV000666,62.166666666666664,170.0,at-risk
INV000667,43.54545454545455,135.0,at-risk
INV000668,127.0,339.0,at-risk
INV000669,128.66666666666666,191.0,at-risk
INV000670,50.5,143.0,at-risk
INV000671,38.72727272727273,118.0,at-risk
INV000672,37.0,41.0,at-risk
INV000673,92.8,235.0,at-risk
INV000674,30.5,31.0,active
INV000675,36.63636363636363,111.0,at-risk
INV000676,32.09090909090909,61.0,at-risk
INV000677,151.0,226.0,at-risk
INV000678,38.0,77.0,at-risk
INV000679,82.25,193.0,at-risk
INV000680,161.5,165.0,at-risk
INV000681,137.5,246.0,at-risk
INV000682,96.6,232.0,at-risk
INV000683,50.6,137.0,at-risk
INV000684,111.5,191.0,at-risk
INV000685,11.0,11.0,active
INV000686,203.0,203.0,at-risk
INV000687,88.5,187.0,at-risk
INV000688,44.5,81.0,at-risk
INV000689,46.714285714285715,110.0,at-risk
INV000690,45.90909090909091,116.0,at-risk
INV000691,52.888888888888886,131.0,at-risk
INV000692,,,active
INV000693,44.333333333333336,116.0,at-risk
INV000694,82.5,184.0,at-risk
INV000695,63.285714285714285,110.0,at-risk
INV000696,104.66666666666667,193.0,at-risk
INV000697,,,active
INV000698,38.0,101.0,at-risk
INV000699,36.42857142857143,90.0,at-risk
INV000700,60.5,93.0,at-risk
INV000701,50.2,230.0,at-risk
INV000702,143.5,188.0,at-risk
INV000703,84.0,177.0,at-risk
INV000704,50.625,183.0,at-risk
INV000705,114.33333333333333,165.0,at-risk
INV000706,54.5,116.0,at-risk
INV000707,45.0,130.0,at-risk
INV000708,66.0,182.0,at-risk
INV000709,39.54545454545455,100.0,at-risk
INV000710,73.83333333333333,143.0,at-risk
INV000711,60.0,160.0,at-risk
INV000712,,,active
INV000713,87.66666666666667,177.0,at-risk
INV000714,26.90909090909091,95.0,at-risk
INV000715,55.333333333333336,107.0,at-risk
INV000716,192.0,192.0,at-risk
INV000717,77.66666666666667,232.0,at-risk
INV000718,38.55555555555556,79.0,at-risk
INV000719,40.72727272727273,129.0,at-risk
INV000720,70.71428571428571,134.0,at-risk
INV000721,78.0,210.0,at-risk
INV000722,52.125,164.0,at-risk
INV000723,86.6,323.0,at-risk
INV000724,50.75,209.0,at-risk
INV000725,58.0,92.0,at-risk
INV000726,69.5,165.0,at-risk
INV000727,13.0,25.0,active
INV000728,39.125,113.0,at-risk
INV000729,109.75,135.0,at-risk
INV000730,81.75,145.0,at-risk
INV000731,88.0,152.0,at-risk
INV000732,42.333333333333336,130.0,at-risk
INV000733,74.5,189.0,at-risk
INV000734,46.3,180.0,at-risk
INV000735,61.42857142857143,264.0,at-risk
INV000736,44.333333333333336,132.0,at-risk
INV000737,66.14285714285714,124.0,at-risk
INV000738,49.57142857142857,163.0,at-risk
INV000739,60.714285714285715,219.0,at-risk
INV000740,223.0,223.0,at-risk
INV000741,65.71428571428571,101.0,at-risk
